date,category,actual,forecast_ml_model,forecast_statistical_model,forecast_foundation_model,forecast_historical,forecast_static,forecast_user
2025-01-01,cash_in_resort_revenue,525.98,129938,0,0,0,0,0
2025-01-01,cash_out_investments_outflow,0.0,-1543,0,0,0,0,0
2025-01-01,cash_out_foreign_exchange_expenses,-426.18,0,0,0,0,-48447,0
2025-01-01,cash_out_tax_payments,0.0,0,0,0,0,-385854,0
2025-01-01,cash_out_insurance_costs,0.0,0,0,-471,0,0,0
2025-01-01,cash_out_resort_maintenance_expenses,0.0,0,0,0,0,-880,0
2025-01-01,cash_in_tax_income,0.0,0,0,0,0,40952,0
2025-01-01,cash_out_payroll,0.0,0,-689126,0,0,0,-1530382
2025-01-01,cash_in_investments_income,0.0,0,0,0,0,0,0
2025-01-02,cash_in_resort_revenue,0.0,211983,0,0,0,0,0
2025-01-02,cash_out_investments_outflow,-151.97,-150313,0,0,0,0,0
2025-01-02,cash_out_foreign_exchange_expenses,0.0,0,0,0,0,-34251,0
2025-01-02,cash_out_tax_payments,-743.41,0,0,0,0,-88479,0
2025-01-02,cash_out_insurance_costs,0.0,0,0,-12146,0,0,0
2025-01-02,cash_out_resort_maintenance_expenses,-76.13,0,0,0,0,-5984,0
2025-01-02,cash_in_tax_income,0.0,0,0,0,0,90300,0
2025-01-02,cash_out_payroll,0.0,0,-271424,0,0,0,0
2025-01-02,cash_in_investments_income,0.0,0,211708,0,0,0,0
2025-01-03,cash_in_resort_revenue,0.0,83392,0,0,0,0,0
2025-01-03,cash_out_investments_outflow,-499.78999999999996,-61444,0,0,0,0,0
2025-01-03,cash_out_foreign_exchange_expenses,-496.4,0,0,0,0,-41025,0
2025-01-03,cash_out_tax_payments,0.0,0,0,0,0,-123856,0
2025-01-03,cash_out_insurance_costs,-33.03,0,0,-31474,0,0,0
2025-01-03,cash_out_resort_maintenance_expenses,0.0,0,0,0,0,-5599,0
2025-01-03,cash_in_tax_income,173.33,0,0,0,0,0,0
2025-01-03,cash_out_payroll,0.0,0,-172666,0,0,0,0
2025-01-03,cash_in_investments_income,0.0,0,0,0,0,0,0
2025-01-04,cash_in_resort_revenue,0.0,254842,0,0,0,0,0
