date,category,actual,unified_forecast,unified_forecast_with_user
2025-01-01,cash_in_resort_revenue,525.98,1299.38,1299.38
2025-01-01,cash_out_investments_outflow,0.0,-15.43,-15.43
2025-01-01,cash_out_foreign_exchange_expenses,-426.18,-484.47,-484.47
2025-01-01,cash_out_tax_payments,0.0,-3858.54,-3858.54
2025-01-01,cash_out_insurance_costs,0.0,-4.71,-4.71
2025-01-01,cash_out_resort_maintenance_expenses,0.0,-8.8,-8.8
2025-01-01,cash_in_tax_income,0.0,409.52,409.52
2025-01-01,cash_out_payroll,0.0,-6891.26,-15303.82
2025-01-01,cash_in_investments_income,0.0,0.0,0.0
2025-01-02,cash_in_resort_revenue,0.0,2119.83,2119.83
2025-01-02,cash_out_investments_outflow,-151.97,-1503.13,-1503.13
2025-01-02,cash_out_foreign_exchange_expenses,0.0,-342.51,-342.51
2025-01-02,cash_out_tax_payments,-743.41,-884.79,-884.79
2025-01-02,cash_out_insurance_costs,0.0,-121.46,-121.46
2025-01-02,cash_out_resort_maintenance_expenses,-76.13,-59.84,-59.84
2025-01-02,cash_in_tax_income,0.0,903.0,903.0
2025-01-02,cash_out_payroll,0.0,-2714.24,-2714.24
2025-01-02,cash_in_investments_income,0.0,2117.08,2117.08
2025-01-03,cash_in_resort_revenue,0.0,833.92,833.92
2025-01-03,cash_out_investments_outflow,-499.79,-614.44,-614.44
2025-01-03,cash_out_foreign_exchange_expenses,-496.4,-410.25,-410.25
2025-01-03,cash_out_tax_payments,0.0,-1238.56,-1238.56
2025-01-03,cash_out_insurance_costs,-33.03,-314.74,-314.74
2025-01-03,cash_out_resort_maintenance_expenses,0.0,-55.99,-55.99
2025-01-03,cash_in_tax_income,173.33,0.0,0.0
2025-01-03,cash_out_payroll,0.0,-1726.66,-1726.66
2025-01-03,cash_in_investments_income,0.0,0.0,0.0
2025-01-04,cash_in_resort_revenue,0.0,2548.42,2548.42
2025-01-04,cash_out_investments_outflow,-103.67,1260.66,1260.66
2025-01-04,cash_out_foreign_exchange_expenses,-1052.41,-14.49,-14.49
2025-01-04,cash_out_tax_payments,0.0,1142.32,1142.32
2025-01-04,cash_out_insurance_costs,0.0,-12.01,-12.01
2025-01-04,cash_out_resort_maintenance_expenses,-101.47,-129.98,-129.98
2025-01-04,cash_in_tax_income,0.0,35.44,35.44
2025-01-04,cash_out_payroll,0.0,570.4,570.4
2025-01-04,cash_in_investments_income,0.0,0.0,0.0
2025-01-05,cash_in_resort_revenue,0.0,2836.9,2836.9
2025-01-05,cash_out_investments_outflow,0.0,114.66,-385.85
2025-01-05,cash_out_foreign_exchange_expenses,0.0,-4.13,-4.13
2025-01-05,cash_out_tax_payments,-608.47,0.0,0.0
2025-01-05,cash_out_insurance_costs,0.0,-0.71,-0.71
2025-01-05,cash_out_resort_maintenance_expenses,-83.17,-1.06,-1.06
2025-01-05,cash_in_tax_income,204.59,0.0,0.0
2025-01-05,cash_out_payroll,-3075.92,288.82,288.82
2025-01-05,cash_in_investments_income,0.0,972.85,20.42
2025-01-06,cash_in_resort_revenue,0.0,1544.5,291.63
2025-01-06,cash_out_investments_outflow,0.0,-15.85,-15.85
2025-01-06,cash_out_foreign_exchange_expenses,0.0,-175.86,-175.86
2025-01-06,cash_out_tax_payments,-208.24,-55.71,-55.71
2025-01-06,cash_out_insurance_costs,0.0,-28.47,-28.47
2025-01-06,cash_out_resort_maintenance_expenses,0.0,-30.44,-30.44
2025-01-06,cash_in_tax_income,428.32,957.72,957.72
2025-01-06,cash_out_payroll,0.0,-1259.94,-1259.94
2025-01-06,cash_in_investments_income,0.0,0.0,0.0
2025-01-07,cash_in_resort_revenue,2029.42,757.1,757.1
2025-01-07,cash_out_investments_outflow,-274.31,-16.62,-16.62
